SIREN,NOM,HAB,DEP
200070969,Le Quesnel  ,795,80
200070969,Louvrechy  ,203,80
200070969,Mailly-Raineval  ,305,80
200070969,Mézières-en-Santerre  ,584,80
200070969,Moreuil  ,3996,80
200070969,Morisel  ,516,80
200070969,Quiry-le-Sec  ,327,80
200070969,Rogy  ,129,80
200070969,Rouvrel  ,315,80
200070969,Sauvillers-Mongival  ,176,80
200070969,Sourdon  ,339,80
200070969,Thennes  ,574,80
200070969,Thory  ,200,80
200070969,Villers-aux-Érables  ,135,80
