comm_insee;NOM_COM;Nb_log_pp_2022;Prop_logvac_pp_2A_010121
3042;Le Breuil;398;9,5
3043;Broût-Vernet;650;5,1
3044;Brugheas;780;5,8
3045;Busset;540;9,3
3046;Buxières-les-Mines;778;12,7
3047;La Celle;284;12
3048;Cérilly;883;12,2
3049;Cesset;221;5,4
3050;La Chabanne;210;12,9
3051;Chambérat;;
3052;Chamblet;533;6,8
3053;Chantelle;683;8,1
3055;La Chapelaude;552;11,2
3056;La Chapelle;;
3059;Chareil-Cintrat;218;5,5
3062;Charroux;;
3063;Chassenard;505;7,3
3065;Châtel-de-Neuvre;309;8,4
3066;Châtel-Montagne;425;13,6
3069;Châtillon;;
3072;Chazemais;269;12,3
3074;Chevagnes;373;7,2
3078;Chouvigny;277;5,8
3079;Cindré;;
3080;Cognat-Lyonne;321;4,7
3081;Colombier;215;11,2
3082;Commentry;4 203;10,7
3083;Contigny;319;5,6
3084;Cosne-d'Allier;1 235;7,8
3085;Coulandon;;
3086;Coulanges;;
3087;Couleuvre;441;10,9
3088;Courçais;225;13,8
3090;Couzon;;
3091;Créchy;;
3092;Cressanges;402;9,2
3093;Creuzier-le-Neuf;553;2,9
3094;Creuzier-le-Vieux;1 602;2,9
3095;Cusset;6 249;5
3097;Deneuille-les-Mines;;
3098;Désertines;2 399;5,9
3099;Deux-Chaises;;
3100;Diou;818;10,5
3101;Domérat;4 447;4,2
3102;Dompierre-sur-Besbre;1 576;10,7
3103;Le Donjon;666;17,7
3104;Doyet;692;8,4
3105;Droiturier;256;6,6
3106;Durdat-Larequille;670;7,3
3107;Ébreuil;775;7,6
3108;Échassières;276;14,5
3109;Escurolles;374;5,9
3110;Espinasse-Vozelle;479;3,1
3111;Estivareilles;578;4,7
3112;Étroussat;378;8,2
3113;Ferrières-sur-Sichon;415;16,4
3115;Fleuriel;;
3117;Franchesse;303;12,5
3118;Gannat;3 158;6,6
3120;Garnat-sur-Engièvre;373;8
3121;Gennetines;303;6,3
3125;La Guillermie;170;15,3
3126;Hauterive;588;4,4
3127;Hérisson;485;14,8
3128;Huriel;1 428;6,2
3129;Hyds;229;11,4
3130;Isle-et-Bardais;;
3131;Isserpent;328;5,5
3132;Jaligny-sur-Besbre;384;13,5
3133;Jenzat;320;5
3134;Laféline;120;10,8
3135;Lalizolle;;
3138;Lapalisse;1 803;9,3
3139;Laprugne;412;23,8
3140;Lavault-Sainte-Anne;492;4,1
3142;Lenax;227;15
3145;Lignerolles;;
3147;Loddes;;
3152;Louroux-de-Bouble;211;7,1
3154;Luneau;;
3155;Lurcy-Lévis;1 239;11,1
3156;Lusigny;805;5,1
3157;Magnet;463;3,9
3158;Haut-Bocage;493;11,6
3159;Malicorne;392;4,6
3161;Marcillat-en-Combraille;639;13,1
3163;Mariol;407;3,4
3165;Le Mayet-de-Montagne;878;11,4
3167;Mazirat;230;11,3
3168;Meaulne-Vitray;646;9,6
3173;Molinet;603;7
3174;Molles;467;9,4
3175;Monestier;;
3176;Monétay-sur-Allier;;
3177;Monétay-sur-Loire;;
3178;Montaiguët-en-Forez;259;21,2
3179;Montaigu-le-Blin;228;15,8
3181;Montcombroux-les-Mines;306;16
3183;Le Montet;232;15,1
3185;Montluçon;20 622;10,1
3186;Montmarault;834;10,1
3189;Montvicq;492;11
3190;Moulins;13 469;9,7
3195;Néris-les-Bains;1 830;10,2
3197;Neuilly-le-Réal;756;4,9
3200;Neuvy;759;3,3
3202;Noyant-d'Allier;485;8,2
3204;Paray-sous-Briailles;302;4
3205;Périgny;242;7,4
3207;Pierrefitte-sur-Loire;302;8,6
3208;Le Pin;220;10,9
3210;Pouzy-Mésangy;270;14,1
3211;Prémilhat;1 159;3,2
3212;Quinssaines;703;5
3214;Rocles;162;15,4
3215;Rongères;277;7,2
3220;Saint-Bonnet-de-Rochefort;402;6,7
3221;Saint-Bonnet-Tronçais;560;9,6
3223;Saint-Christophe;;
3224;Saint-Clément;326;14,1
3225;Saint-Désiré;335;11,6
3227;Saint-Didier-la-Forêt;221;9
3230;Saint-Étienne-de-Vicq;;
3234;Saint-Gérand-de-Vaux;;
3235;Saint-Gérand-le-Puy;509;9
3236;Saint-Germain-des-Fossés;1 850;3,3
3237;Saint-Germain-de-Salles;258;7
3238;Saint-Hilaire;332;17,2
3239;Saint-Léger-sur-Vouzance;;
3240;Saint-Léon;391;16,6
3241;Saint-Léopardin-d'Augy;216;8,3
3242;Saint-Loup;;
3244;Saint-Marcel-en-Marcillat;124;14,5
3246;Saint-Martinien;;
3247;Saint-Menoux;564;5,5
3249;Saint-Palais;;
3251;Saint-Plaisir;306;9,5
3252;Saint-Pont;;
3253;Saint-Pourçain-sur-Besbre;205;10,7
3254;Saint-Pourçain-sur-Sioule;3 006;5
3257;Saint-Prix;478;7,9
3258;Saint-Rémy-en-Rollat;;
3259;Saint-Sauvier;293;19,5
3262;Saint-Victor;990;2,9
3264;Saint-Yorre;1 296;5,2
3265;Saligny-sur-Roudon;419;8,1
3267;Saulcet;386;3,9
3271;Serbannes;;
3275;Souvigny;1 134;10,6
3279;Teillet-Argenty;329;11,9
3281;Le Theil;274;13,9
3282;Theneuille;303;16,2
3283;Thiel-sur-Acolin;581;6
3284;Thionne;;
3286;Toulon-sur-Allier;570;2,8
3287;Treban;243;16
3288;Treignat;361;17,7
3289;Treteau;312;9
3290;Trévol;773;3,2
3291;Trézelles;275;12,4
3292;Tronget;519;11,4
3293;Urçay;248;13,3
3296;Valigny;320;10,3
3297;Vallon-en-Sully;1 068;15
3298;Varennes-sur-Allier;2 037;8,1
3299;Varennes-sur-Tèche;;
3300;Vaumas;317;9,5
3301;Vaux;532;5,3
3304;Vendat;1 111;1,6
3306;Le Vernet;877;4,2
3309;Le Veurdre;369;13,3
3310;Vichy;21 230;7,1
3311;Vicq;237;11,4
3314;Villebret;597;3,2
3315;Villefranche-d'Allier;651;10,3
3316;Villeneuve-sur-Allier;513;5,7
3317;Viplaix;307;20,8
3319;Voussac;342;12,6
3320;Ygrande;498;10,2
3321;Yzeure;6 590;4,1
4001;Aiglun;534;2,2
4004;Allemagne-en-Provence;475;4,8
4005;Allons;;
4006;Allos;5 326;2
4008;Annot;893;9,1
4013;Aubignosc;279;4,7
4018;Banon;767;6,8
4019;Barcelonnette;3 339;5,5
4022;Barrême;450;6,7
4025;Beauvezer;729;3,4
4031;Bras-d'Asse;425;5,6
4032;Braux;;
4033;Ubaye-Serre-Ponçon;637;3,8
4034;La Brillanne;537;2
4035;Brunet;198;7,1
4036;Le Brusquet;519;4,6
4039;Castellane;1 661;7,6
4045;Céreste;972;8,5
4046;Le Chaffaut-Saint-Jurson;316;6,3
4047;Champtercier;373;4,8
4049;Château-Arnoux-Saint-Auban;2 637;4,7
4053;Châteauneuf-Val-Saint-Donat;312;3,8
4059;Clumanc;;
4061;Colmars;843;3,8
4063;Corbières-en-Provence;650;6,8
4065;Cruis;501;3,2
4066;Curbans;279;5
4068;Dauphin;516;4,1
4070;Digne-les-Bains;9 312;5,9
4073;Enchastrayes;2 199;1
4075;Entrepierres;281;5,7
4076;Entrevaux;857;8,5
4079;L'Escale;777;4,8
4081;Esparron-de-Verdon;604;3
4084;Estoublon;412;5,3
4088;Forcalquier;3 137;4,6
4090;Le Fugeret;282;6,4
4092;La Garde;;
4094;Gréoux-les-Bains;4 399;7,5
4096;Jausiers;1 282;2,4
4097;La Javie;;
4102;Le Lauzet-Ubaye;331;12,4
4106;Lurs;351;6,6
4108;Malijai;874;4,6
4110;Mallemoisson;566;3,5
4111;Mane;808;6,9
4112;Manosque;12 682;4,5
4113;Marcoux;305;4,9
4115;Méailles;244;9
4116;Les Mées;2 142;5,4
4121;Mézel;442;9,3
4122;Mirabeau;309;4,9
4123;Mison;674;5,9
4124;Montagnac-Montpezat;678;3,1
4126;Montclar;1 122;9,5
4127;Montfort;161;10,6
4133;Moriez;247;13,4
4134;La Motte-du-Caire;407;10,3
4135;Moustiers-Sainte-Marie;648;4,8
4136;La Mure-Argens;393;7,6
4138;Niozelles;192;10,9
4139;Noyers-sur-Jabron;351;5,7
4143;Oraison;3 220;3,9
4144;La Palud-sur-Verdon;372;4,3
4145;Peipin;786;5,1
4148;Peyroules;;
4149;Peyruis;1 432;5,5
4151;Pierrerue;368;4,3
4152;Pierrevert;2 055;2,8
4155;Prads-Haute-Bléone;302;7,3
4157;Puimoisson;620;5,2
4158;Quinson;506;4,2
