"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"9029";"21154_22146";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(4.57489181093067, 47.8533886916338)
"9030";"21037_5050";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.74460134859967, 46.9696676106616)
"9031";"21054_6912";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.82322498658246, 47.017493859497)
"9032";"62215_8389";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.93151181710378, 50.4798600974053)
"9033";"21577_18437";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.24480645984788, 47.0968793420835)
"9034";"21023_18459";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.49232528380184, 47.1311132438208)
"9035";"21054_18385";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.86111053960283, 47.0179789306349)
"9036";"21577_18444";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.24835408046138, 47.0996194297351)
"9037";"21317_20964";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(5.12370205859848, 47.5179463636842)
"9038";"22240_1057";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.22911779095785, 48.2387073574785)
"9039";"21231_21269";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(5.05910392462953, 47.3426545287043)
"9040";"22306_8751";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-1.96029163020562, 48.3751382748558)
"9041";"21054_5685";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.85413056544755, 47.0065961059552)
"9042";"21054_11920";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(4.84236944135981, 47.039922278938)
"9043";"22121_2610";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.00615949374077, 48.6282145325465)
"9044";"22293_2677";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.10320596678529, 48.6509329430079)
"9045";"22264_2999";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.19392302627002, 48.7582789887273)
"9046";"22065_19544";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.01485176337671, 48.623396437729)
"9047";"22162_3029";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.05683684169216, 48.7791608907417)
"9048";"22287_4063";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.88736840569444, 48.4726154174144)
"9049";"22371_6170";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.3038298425137, 48.1568704423326)
"9050";"22254_4134";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.29862705216245, 48.6785419982282)
"9051";"22065_5323";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.0146154164208, 48.6251727764183)
"9052";"22262_20195";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.91440742446715, 48.4033054189247)
"9053";"22278_5905";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.73720517683955, 48.505861798352)
"9054";"22183_7169";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.64045721881615, 48.1285176394646)
"9055";"22222_7896";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-2.95746504560261, 48.6890513401967)
"9056";"49020_9024";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.626096502378284, 47.4744005649298)
"9057";"22237_15581";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.31850891826128, 48.5119085983897)
"9058";"22172_16034";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.22523897198511, 48.5293184594688)
"9059";"22001_19130";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.84768050124833, 48.2928634713868)
"9060";"22278_16026";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.75749367652933, 48.5236092282395)
"9061";"22155_7187";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.75081544602736, 48.2274944172407)
"9062";"22316_19635";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.01473639087551, 48.2312576360709)
"9063";"22020_21273";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.26224136017043, 48.3190733158394)
"9064";"22158_21304";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.98506148226372, 48.201785105418)
"9065";"22287_20025";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.91377396766583, 48.4494580072746)
"9066";"22050_20037";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.0601440431038, 48.4579676229701)
"9067";"22228_19888";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.44748184217337, 48.5568913102788)
"9068";"22170_20052";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.87281975954881, 48.4613000995557)
"9069";"22318_20055";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.21157199257277, 48.4659612000271)
"9070";"22226_2774";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.54429439442975, 48.6886175590409)
"9071";"22218_4777";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.23257246572507, 48.8384038643628)
"9072";"22257_4967";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.31309379241803, 48.7230788207506)
"9073";"22206_7203";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.9723296065201, 48.536585029328)
"9074";"22186_21516";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.55388038563234, 48.5804060167517)
"9075";"22347_5255";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.19148509365877, 48.7893340423621)
"9076";"22162_8064";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.0425153832433, 48.7818748066709)
"9077";"22364_5294";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.1053638273987, 48.4447070597885)
"9078";"22187_5778";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.7722522048212, 48.5371012698662)
"9079";"38130_8803";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.26690200037741, 45.3495347228852)
"9080";"22210_9439";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.0450597101758, 48.7885389084906)
"9081";"22105_15133";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.14139824386584, 48.4969919017464)
"9082";"22187_16495";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82418375276642, 48.5320078677894)
"9083";"22054_21525";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.45535915046676, 48.630661974167)
"9084";"22014_14852";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.23823261029791, 48.4893449602624)
"9085";"22147_7547";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.41541509003892, 48.1941203222469)
"9086";"22215_15644";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.81114149635868, 48.5168325039104)
"9087";"22278_16025";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.76825370955724, 48.5242418809971)
"9088";"22258_10729";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.6596475373657, 48.4222028407054)
"9089";"22187_16515";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.79066098529795, 48.5327039717374)
"9090";"22187_16809";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82822622831624, 48.5383677471846)
"9091";"22062_19584";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.47871702042704, 48.172161642695)
"9092";"22330_19641";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.85708490324682, 48.2349155378584)
"9093";"22071_19725";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.11067767866977, 48.2929157353854)
"9094";"22203_19777";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.74299401090269, 48.3614172282835)
"9095";"22277_19840";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.86934450022227, 48.4001939083742)
"9096";"22171_19855";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82843213430158, 48.4085261840296)
"9097";"22093_15666";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.62006024892477, 48.520914763026)
