"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1711";"88319_12486";"MTE";"Cerema AO Ademe";"inconnu";c(6.88147152169742, 48.379055988816)
"1712";"88196_12788";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.87369713652519, 48.0724764637075)
"1713";"88065_15216";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.07625355884206, 48.1000683483617)
"1714";"88082_13346";"MTE";"Friche étude Ademe 2021";"inconnu";c(6.94624050727669, 48.4510391087346)
"1715";"2B045_1015";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(9.35550245088112, 42.338280516337)
"1716";"88065_13415";"MTE";"Friche étude Ademe 2021";"inconnu";c(6.044814947321, 48.0963687978797)
"1717";"88085_19569";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.76804744639057, 48.1404675774212)
"1718";"88154_13458";"MTE";"Friche étude Ademe 2021";"inconnu";c(5.6543961219174, 48.45128658876)
"1719";"88065_13429";"MTE";"Friche étude Ademe 2021";"inconnu";c(6.05631119620548, 48.0818050122208)
"1720";"88065_13555";"MTE";"Friche étude Ademe 2021";"inconnu";c(6.0548350865519, 48.0805269757224)
"1721";"88196_19438";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.81684137347921, 48.0716319085301)
"1722";"04211_16541";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.02633568419226, 44.1606461474106)
"1723";"43220_21518";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(3.5786237406541, 44.929714540085)
"1724";"88505_19594";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.83288461277622, 48.1782064425955)
"1725";"88462_19360";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.67064647556817, 48.0175487537608)
"1726";"88085_19534";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.75736456250516, 48.1249110814328)
"1727";"88052_19446";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.05756194906642, 48.0786133349092)
"1728";"88196_19457";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.7813891555655, 48.0819015620516)
"1729";"88413_19603";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.96010159245834, 48.2759916575777)
"1730";"88012_19552";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.54953574418471, 48.1222570101367)
"1731";"32126_18";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.262331564817541, 43.3946958049008)
